"Genome"	"00010 Glycolysis / Gluconeogenesis"	"00020 Citrate cycle (TCA cycle)"	"00030 Pentose phosphate pathway"	"00040 Pentose and glucuronate interconversions"	"00051 Fructose and mannose metabolism"	"00052 Galactose metabolism"	"00053 Ascorbate and aldarate metabolism"	"00061 Fatty acid biosynthesis"	"00120 Primary bile acid biosynthesis"	"00130 Ubiquinone and other terpenoid-quinone biosynthesis"	"00190 Oxidative phosphorylation"	"00220 Arginine biosynthesis"	"00230 Purine metabolism"	"00240 Pyrimidine metabolism"	"00250 Alanine. aspartate and glutamate metabolism"	"00260 Glycine. serine and threonine metabolism"	"00270 Cysteine and methionine metabolism"	"00280 Valine. leucine and isoleucine degradation"	"00290 Valine. leucine and isoleucine biosynthesis"	"00300 Lysine biosynthesis"	"00330 Arginine and proline metabolism"	"00340 Histidine metabolism"	"00360 Phenylalanine metabolism"	"00362 Benzoate degradation"	"00400 Phenylalanine. tyrosine and tryptophan biosynthesis"	"00410 beta-Alanine metabolism"	"00430 Taurine and hypotaurine metabolism"	"00480 Glutathione metabolism"	"00500 Starch and sucrose metabolism"	"00520 Amino sugar and nucleotide sugar metabolism"	"00523 Polyketide sugar unit biosynthesis"	"00540 Lipopolysaccharide biosynthesis"	"00550 Peptidoglycan biosynthesis"	"00561 Glycerolipid metabolism"	"00562 Inositol phosphate metabolism"	"00564 Glycerophospholipid metabolism"	"00620 Pyruvate metabolism"	"00630 Glyoxylate and dicarboxylate metabolism"	"00640 Propanoate metabolism"	"00650 Butanoate metabolism"	"00660 C5-Branched dibasic acid metabolism"	"00670 One carbon pool by folate"	"00680 Methane metabolism"	"00720 Carbon fixation pathways in prokaryotes"	"00730 Thiamine metabolism"	"00740 Riboflavin metabolism"	"00750 Vitamin B6 metabolism"	"00760 Nicotinate and nicotinamide metabolism"	"00770 Pantothenate and CoA biosynthesis"	"00780 Biotin metabolism"	"00785 Lipoic acid metabolism"	"00790 Folate biosynthesis"	"00860 Porphyrin and chlorophyll metabolism"	"00900 Terpenoid backbone biosynthesis"	"00908 Zeatin biosynthesis"	"00910 Nitrogen metabolism"	"00920 Sulfur metabolism"	"00970 Aminoacyl-tRNA biosynthesis"	"01002 Peptidases and inhibitors"	"01003 Glycosyltransferases"	"01008 Polyketide biosynthesis proteins"	"01011 Peptidoglycan biosynthesis and degradation proteins"	"01501 beta-Lactam resistance"	"02000 Transporters"	"02010 ABC transporters"	"02020 Two-component system"	"02022 Two-component system"	"02024 Quorum sensing"	"02026 Biofilm formation - Escherichia coli"	"02030 Bacterial chemotaxis"	"02040 Flagellar assembly"	"02044 Secretion system"	"03000 Transcription factors"	"03008 Ribosome biogenesis in eukaryotes"	"03009 Ribosome biogenesis"	"03010 Ribosome"	"03012 Translation factors"	"03013 RNA transport"	"03016 Transfer RNA biogenesis"	"03018 RNA degradation"	"03019 Messenger RNA biogenesis"	"03020 RNA polymerase"	"03021 Transcription machinery"	"03022 Basal transcription factors"	"03030 DNA replication"	"03032 DNA replication proteins"	"03036 Chromosome and associated proteins"	"03050 Proteasome"	"03051 Proteasome"	"03110 Chaperones and folding catalysts"	"03400 DNA repair and recombination proteins"	"03410 Base excision repair"	"03420 Nucleotide excision repair"	"03430 Mismatch repair"	"03440 Homologous recombination"	"04013 MAPK signaling pathway - fly"	"04112 Cell cycle - Caulobacter"	"04122 Sulfur relay system"	"04131 Membrane trafficking"	"04141 Protein processing in endoplasmic reticulum"	"04147 Exosome"	"04213 Longevity regulating pathway - multiple species"	"04626 Plant-pathogen interaction"	"05111 Biofilm formation - Vibrio cholerae"	"05133 Pertussis"	"05134 Legionellosis"	"09113 Global maps only"	"99973 Transcription"	"99975 Protein processing"	"99976 Replication and repair"	"99977 Transport"	"99978 Cell growth"	"99980 Enzymes with EC numbers"	"99981 Carbohydrate metabolism"	"99982 Energy metabolism"	"99983 Lipid metabolism"	"99985 Amino acid metabolism"	"99994 Others"	"99995 Signaling proteins"	"99996 General function prediction only"	"99997 Function unknown"	"Uncharacterised"
"Acidobacteria bacterium Mor1"	6	3	3	0	0	0	0	3	0	0	3	0	3	5	0	1	2	0	0	0	0	1	1	0	1	0	0	0	1	1	2	1	2	0	0	1	7	5	0	0	0	0	0	0	2	1	1	1	0	0	0	3	2	0	0	0	0	3	6	1	0	0	0	4	4	2	0	0	0	0	0	0	1	0	2	25	1	0	3	5	1	2	1	0	0	0	1	0	0	1	1	0	1	0	2	1	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	11	0	2	1	0	0	3	0	4	1433
"Bryocella elongata"	12	4	0	2	0	1	2	1	0	0	5	0	9	5	0	2	2	0	1	0	0	1	1	0	2	0	0	0	2	2	2	0	1	0	0	2	6	2	2	0	3	0	0	0	2	1	1	0	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	3	6	10	0	0	0	0	0	0	0	0	2	30	3	0	1	4	0	1	1	0	0	0	1	0	0	3	0	1	1	0	1	2	2	1	0	0	0	0	1	0	0	1	0	5	4	0	3	0	5	1	1	0	0	0	2	1	3	1523
"Candidatus Nitrosoarchaeum koreensis MY1"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	19	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3616
"Chitinibacter tainanensis"	7	5	4	1	0	0	0	5	0	3	6	2	12	9	2	4	4	0	2	3	1	3	1	0	4	1	0	1	1	4	2	8	3	1	1	2	5	6	0	1	2	1	1	1	4	1	0	5	1	3	0	3	8	4	0	1	8	7	7	0	0	2	0	10	13	28	0	0	1	2	4	2	4	1	9	33	6	1	11	7	0	1	3	0	2	2	3	0	0	5	2	3	1	2	3	1	3	0	1	1	1	0	1	1	0	1	1	3	3	1	0	1	15	0	3	0	1	3	1	2	9	1397
"Chitinimonas koreensis"	8	6	3	2	0	0	0	6	0	3	5	2	13	9	1	3	5	1	2	3	2	3	0	0	6	1	1	1	0	4	2	9	3	1	1	3	5	5	2	3	2	1	1	1	4	1	0	3	1	3	0	3	10	4	0	1	11	6	7	1	0	2	1	12	16	34	0	3	1	2	6	2	2	1	8	28	7	1	12	5	1	1	2	0	3	3	0	0	0	4	4	4	0	2	2	1	2	1	1	1	1	1	0	1	0	1	1	3	2	1	0	1	16	0	3	0	1	1	0	2	9	2160
"Frankia alni ACN14a"	13	10	2	0	3	2	0	0	4	0	21	2	10	11	2	5	7	4	4	0	2	7	0	0	6	0	1	4	5	4	1	0	7	0	0	3	4	14	0	14	3	0	0	7	2	2	4	2	6	0	3	0	8	1	2	0	4	10	5	2	2	0	0	10	18	7	2	0	0	0	0	0	11	0	9	49	9	0	10	16	2	6	6	0	2	0	7	6	1	1	0	0	2	0	9	0	10	3	0	1	0	2	1	1	0	2	0	2	11	8	0	0	26	0	5	2	0	0	9	7	15	9815
"Frankia casuarinae"	9	4	1	0	3	1	0	0	1	0	17	1	6	6	1	2	4	1	2	0	0	3	8	0	3	0	0	2	9	2	2	0	6	0	0	1	2	10	0	2	2	0	0	3	1	1	2	1	6	0	1	1	4	1	1	0	5	6	3	2	2	0	0	10	4	7	2	0	0	0	0	0	5	0	6	41	5	0	4	8	1	4	4	0	1	0	4	3	1	1	0	0	1	0	6	0	8	2	0	2	0	2	1	0	0	2	0	1	6	44	0	0	14	13	2	1	0	0	6	5	7	4383
"Lactobacillus florum"	2	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	48	2	0	0	2	0	4	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	2434
"Lactobacillus herbarum"	1	0	0	0	0	0	0	0	0	0	2	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	22	2	0	2	3	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	2	1	0	1128
"Leuconostoc fallax"	1	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	25	2	0	0	1	0	3	1	0	0	1	1	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	600
